469;César Tárrega;es ESP;DF;Valencia;23-318;2002;17;16;1,465;16.3;0;0;0;0;0;0;5;0;0.2;0.2;0.1;0.3;7;34;1;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.02;0.01;0.02;Matches
470;Aurélien Tchouaméni;fr FRA;MF;Real Madrid;25-348;2000;17;16;1,385;15.4;0;0;0;0;0;0;4;0;1.3;1.3;2.2;3.5;16;89;16;0.00;0.00;0.00;0.00;0.00;0.08;0.14;0.22;0.08;0.22;Matches
471;Nahuel Tenaglia;ar ARG;DF;Alavés;29-323;1996;17;17;1,53;17.0;1;0;1;1;0;0;2;0;0.8;0.8;0.1;0.9;5;41;3;0.06;0.00;0.06;0.06;0.06;0.05;0.01;0.05;0.05;0.05;Matches
472;Arnau Tenas;es ESP;GK;Villarreal;24-225;2001;3;3;270;3.0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
473;Ramón Terrats;es ESP;MF,FW;Espanyol;25-084;2000;11;3;265;2.9;0;0;0;0;0;0;0;0;0.3;0.3;0.9;1.3;2;3;18;0.00;0.00;0.00;0.00;0.00;0.11;0.32;0.43;0.11;0.43;Matches
474;Jeremy Toljan;de GER;DF;Levante;31-155;1994;17;17;1,435;15.9;1;2;3;1;0;0;4;0;0.8;0.8;2.0;2.8;8;32;47;0.06;0.13;0.19;0.06;0.19;0.05;0.12;0.17;0.05;0.17;Matches
475;Pablo Torre;es ESP;MF,FW;Mallorca;22-282;2003;16;7;652;7.2;0;2;2;0;0;0;1;0;0.5;0.5;1.1;1.6;10;40;26;0.00;0.28;0.28;0.00;0.28;0.07;0.16;0.22;0.07;0.22;Matches
476;Jofre Torrents;es ESP;DF;Barcelona;18-347;2007;3;0;50;0.6;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;11;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
477;Ferrán Torres;es ESP;FW;Barcelona;25-315;2000;18;14;1,144;12.7;11;1;12;11;0;0;2;0;8.7;8.7;1.4;10.1;8;17;74;0.87;0.08;0.94;0.87;0.94;0.68;0.11;0.79;0.68;0.79;Matches
478;Lucas Torró;es ESP;MF;Osasuna;31-175;1994;17;17;1,25;13.9;0;1;1;0;0;0;4;0;0.8;0.8;0.6;1.3;2;40;12;0.00;0.07;0.07;0.00;0.07;0.06;0.04;0.10;0.06;0.10;Matches
