Rk;Player;Nation;Pos;Squad;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG;Matches
46;Cédric Bakambu;cd COD;FW;Betis;34-275;1991;7;0;71;0.8;1;0;1;1;0;0;0;0;0.4;0.4;0.0;0.5;1;0;7;1.27;0.00;1.27;1.27;1.27;0.57;0.02;0.58;0.57;0.58;Matches
47;Alejandro Balde;es ESP;DF;Barcelona;22-085;2003;15;14;1,123;12.5;0;2;2;0;0;0;2;0;0.2;0.2;1.2;1.5;33;62;92;0.00;0.16;0.16;0.00;0.16;0.02;0.10;0.12;0.02;0.12;Matches
48;Iván Balliu;al ALB;DF;Rayo Vallecano;34-010;1992;8;2;202;2.2;0;0;0;0;0;0;3;0;0.3;0.3;0.0;0.3;4;25;9;0.00;0.00;0.00;0.00;0.00;0.15;0.01;0.15;0.15;0.15;Matches
49;Roony Bardghji;se SWE;FW;Barcelona;20-057;2005;9;3;247;2.7;1;1;2;1;0;0;0;0;1.0;1.0;1.0;2.0;13;13;37;0.36;0.36;0.73;0.36;0.73;0.37;0.35;0.71;0.37;0.71;Matches
50;Kike Barja;es ESP;FW,MF;Osasuna;28-285;1997;14;1;186;2.1;0;0;0;0;0;0;2;0;0.1;0.1;0.3;0.3;9;2;16;0.00;0.00;0.00;0.00;0.00;0.03;0.12;0.15;0.03;0.15;Matches
51;Ander Barrenetxea;es ESP;MF,FW;Real Sociedad;24-015;2001;17;12;1,03;11.4;3;3;6;3;0;0;2;0;1.9;1.9;4.0;5.9;44;52;102;0.26;0.26;0.52;0.26;0.52;0.17;0.35;0.51;0.17;0.51;Matches
52;Pablo Barrios;es ESP;MF;Atlético Madrid;22-210;2003;18;16;1,347;15.0;1;0;1;1;0;0;0;0;1.5;1.5;0.7;2.3;42;100;49;0.07;0.00;0.07;0.07;0.07;0.10;0.05;0.15;0.10;0.15;Matches
53;Marc Bartra;es ESP;DF;Betis;34-361;1991;15;13;1,268;14.1;1;0;1;1;0;0;2;0;0.2;0.2;0.0;0.2;5;26;0;0.07;0.00;0.07;0.07;0.07;0.01;0.00;0.01;0.01;0.01;Matches
54;Augusto Batalla;ar ARG;GK;Rayo Vallecano;29-256;1996;18;18;1,62;18.0;0;0;0;0;0;0;3;0;0.0;0.0;0.0;0.0;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;Matches
55;Samu Becerra;es ESP;DF,MF;Rayo Vallecano;20-010;2006;3;0;12;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.00;0.37;0.37;0.00;0.37;Matches
56;Sheraldo Becker;sr SUR;MF,FW;Osasuna;30-336;1995;9;0;158;1.8;0;0;0;0;0;0;0;0;0.1;0.1;0.3;0.4;4;4;22;0.00;0.00;0.00;0.00;0.00;0.08;0.17;0.24;0.08;0.24;Matches
57;Donny van de Beek;nl NED;MF;Girona;28-268;1997;2;1;41;0.5;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.1;0;2;2;0.00;0.00;0.00;0.00;0.00;0.19;0.00;0.19;0.19;0.19;Matches
58;Ismael Bekhoucha;ma MAR;DF;Getafe;21-052;2004;4;1;122;1.4;0;1;1;0;0;0;2;0;0.0;0.0;1.0;1.0;1;2;2;0.00;0.74;0.74;0.00;0.74;0.01;0.70;0.71;0.01;0.71;Matches
